id,Ciudad,Latitud,Logitud,GPS,Importancia,Ventas,Estado
1,CALI,3.458751803,-76.48034743,3.45875180263027;-76.4803474263551,5,219144,ABIERTO
2,CALI,3.461131544,-76.5279154,3.46113154427;-76.5279153973,1,305673,CERRADO
3,CALI,3.454249241,-76.57508524,3.45424924123724;-76.5750852365464,3,210133,ABIERTO
4,CALI,3.427359961,-76.53028982,3.427359961;-76.53028982,1,270343,CERRADO
5,CALI,3.4748403,-76.52115642,3.47484029999404;-76.5211564150246,3,276422,CERRADO
6,CALI,3.483364768,-76.51743113,3.48336476806869;-76.5174311316161,1,231469,CERRADO
7,CALI,3.4443476,-76.5403997,3.4443476;-76.5403997,3,403947,CERRADO
8,CALI,3.492342867,-76.50496939,3.4923428668411;-76.5049693861366,1,349082,CERRADO
9,CALI,3.415262525,-76.50034163,3.41526252540486;-76.5003416329767,4,230230,CERRADO
10,CALI,3.459575339,-76.55069414,3.4595753392204642;-76.55069413594902,3,159920,CERRADO
11,CALI,3.3839632,-76.5204512,3.3839632;-76.5204512,5,378068,CERRADO
12,CALI,3.407287836,-76.52335358,3.40728783607;-76.5233535767,4,339323,CERRADO
13,CALI,3.486533,-76.5293189,3.486533;-76.5293189,1,180441,CERRADO
14,CALI,3.485342604,-76.51177886,3.48534260351328;-76.5117788591718,3,418114,CERRADO
15,CALI,3.441744652,-76.5411696,3.44174465163055;-76.5411696034841,2,343437,CERRADO
16,CALI,3.45357792,-76.55937913,3.45357791986;-76.5593791287,1,278766,CERRADO
17,CALI,3.436067833,-76.50400282,3.4360678333774;-76.5040028210299,4,373212,CERRADO
18,CALI,3.479441303,-76.48836018,3.47944130276643;-76.4883601834355,4,406528,CERRADO
19,CALI,3.411566257,-76.49813843,3.41156625748;-76.4981384277,2,302510,CERRADO
20,CALI,3.399749035,-76.51175035,3.39974903526723;-76.5117503511914,2,193983,CERRADO
21,CALI,3.389981409,-76.538706,3.38998140909522;-76.5387059956848,3,415372,CERRADO
22,CALI,3.376743738,-76.55148312,3.3767437376081944;-76.55148312449455,1,177165,CERRADO
23,CALI,3.420320599,-76.52866241,3.42032059900801;-76.5286624077669,2,212272,CERRADO
24,CALI,3.463713838,-76.51663382,3.46371383810664;-76.51663381964,3,288381,CERRADO
25,CALI,3.44836896,-76.4831025,3.44836895995471;-76.4831024965181,4,282511,CERRADO
26,CALI,3.473282609,-76.4840145,3.47328260924961;-76.4840145037866,5,276177,CERRADO
27,CALI,3.475345943,-76.52131698,3.47534594317566;-76.5213169777063,1,181032,CERRADO
28,CALI,3.476067543,-76.50810242,3.47606754303;-76.508102417,3,172603,CERRADO
29,CALI,3.426709888,-76.47043735,3.42670988794421;-76.4704373542163,3,262157,ABIERTO
30,CALI,3.419369246,-76.51597592,3.41936924606345;-76.5159759178477,3,369843,ABIERTO
31,CALI,3.425585,-76.49717667,3.425585;-76.49717666666668,1,228269,ABIERTO
32,CALI,3.393529323,-76.51044557,3.39352932288129;-76.5104455740058,3,347245,ABIERTO
33,CALI,3.430716515,-76.48282623,3.43071651459;-76.4828262329,1,231380,ABIERTO
34,CALI,3.467412328,-76.48929316,3.46741232840133;-76.4892931566688,3,416359,ABIERTO
35,CALI,3.4762556,-76.52322,3.4762556;-76.52322,4,335552,ABIERTO
36,CALI,3.441810315,-76.52616793,3.4418103145435452;-76.5261679328978,2,410354,ABIERTO
37,CALI,3.433045597,-76.53905792,3.433045597;-76.53905792,1,278579,ABIERTO
38,CALI,3.410742206,-76.5340185,3.41074220567617;-76.5340184971627,3,382163,ABIERTO
39,CALI,3.426590323,-76.47032206,3.42659032332477;-76.4703220604484,3,240816,ABIERTO
40,CALI,3.46306181,-76.51354218,3.46306180954;-76.5135421753,2,352914,ABIERTO
41,CALI,3.413008544,-76.51519926,3.41300854369546;-76.5151992629014,3,312405,ABIERTO
42,CALI,3.475019529,-76.49719518,3.47501952902792;-76.4971951810371,3,379814,ABIERTO
43,CALI,3.398342627,-76.5456723,3.39834262677;-76.5456723042,4,236913,ABIERTO
44,CALI,3.4466385,-76.5387821,3.4466385;-76.5387821,5,355232,ABIERTO
45,CALI,3.44137787,-76.52184639,3.44137786980959;-76.5218463935751,5,325554,ABIERTO
46,CALI,3.464050055,-76.51907349,3.46405005455;-76.5190734863,4,208142,ABIERTO
47,CALI,3.432252407,-76.47357178,3.43225240707;-76.4735717773,3,261812,ABIERTO
48,CALI,3.446032,-76.512297,3.446032;-76.512297,5,167353,ABIERTO
49,CALI,3.438179685,-76.51670247,3.43817968498741;-76.5167024677715,3,410759,ABIERTO
50,CALI,3.375423228,-76.51584095,3.37542322818;-76.5158409541,1,367331,ABIERTO
51,CALI,3.426433325,-76.4919281,3.42643332481;-76.4919281006,4,405741,ABIERTO
52,CALI,3.460712009,-76.51647275,3.46071200910955;-76.5164727531373,5,411172,ABIERTO
53,CALI,3.461800615,-76.52850218,3.46180061465313;-76.5285021824988,5,270384,ABIERTO
54,CALI,3.42380929,-76.49267578,3.42380928993;-76.4926757812,2,347596,ABIERTO
55,CALI,3.447087179,-76.53147818,3.44708717942134;-76.531478177355,4,277950,ABIERTO
56,CALI,3.383175088,-76.51001148,3.3831750880926847;-76.51001147925854,3,301689,ABIERTO
57,CALI,3.430216893,-76.50899284,3.43021689332473;-76.508992838832,5,344094,ABIERTO
58,CALI,3.372692953,-76.5187298,3.37269295254212;-76.5187298,3,283486,CERRADO
59,CALI,3.449027777,-76.53127289,3.44902777672;-76.5312728882,1,254473,CERRADO
60,CALI,3.441230746,-76.53290784,3.44123074566424;-76.5329078383843,2,236277,CERRADO
61,CALI,3.449076931,-76.49886331,3.4490769310263287;-76.49886331227704,5,311532,CERRADO
62,CALI,3.444081545,-76.50881958,3.44408154488;-76.5088195801,1,253870,CERRADO
63,CALI,3.393445253,-76.55370331,3.39344525337;-76.5537033081,2,330685,CERRADO
64,CALI,3.4977985,-76.4952781,3.4977985;-76.4952781,3,156776,CERRADO
65,CALI,3.457484705,-76.53340219,3.45748470499022;-76.5334021939504,4,343563,CERRADO
66,CALI,3.421051026,-76.48188747,3.4210510257;-76.481887465,3,344065,CERRADO
67,CALI,3.410380317,-76.53983081,3.41038031662474;-76.5398308114584,3,354429,CERRADO
68,CALI,3.44564382,-76.52036078,3.4456438198685646;-76.5203607827425,4,152299,CERRADO
69,CALI,3.4477805,-76.5246929,3.4477805;-76.5246929,4,294495,CERRADO
70,CALI,3.410528833,-76.51276225,3.41052883292363;-76.5127622476648,4,402553,CERRADO
71,CALI,3.411953283,-76.53131015,3.41195328314496;-76.5313101526593,5,271064,CERRADO
72,CALI,3.434084571,-76.53021614,3.43408457145894;-76.5302161430268,2,262865,CERRADO
